step,operation,part_or_aid_id,axis,attach_to,support_stud_sites,support_class,condition
32,PLACE_PROTOTYPE_PART,DUC-F-00032,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
33,PLACE_PROTOTYPE_PART,DUC-F-00033,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
34,PLACE_PROTOTYPE_PART,DUC-F-00034,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
35,PLACE_PROTOTYPE_PART,DUC-F-00035,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
36,PLACE_PROTOTYPE_PART,DUC-F-00036,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
37,PLACE_PROTOTYPE_PART,DUC-F-00037,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
38,PLACE_PROTOTYPE_PART,DUC-F-00038,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
39,PLACE_PROTOTYPE_PART,DUC-F-00039,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
40,PLACE_PROTOTYPE_PART,DUC-F-00040,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
41,PLACE_PROTOTYPE_PART,DUC-F-00041,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
42,PLACE_PROTOTYPE_PART,DUC-F-00042,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
43,PLACE_PROTOTYPE_PART,DUC-F-00043,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
44,PLACE_PROTOTYPE_PART,DUC-R2-00001,-Z,DUC-F-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
45,PLACE_PROTOTYPE_PART,DUC-R2-00002,-Z,DUC-F-00001,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
46,PLACE_PROTOTYPE_PART,DUC-R2-00003,-Z,DUC-F-00004,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
47,PLACE_PROTOTYPE_PART,DUC-R2-00004,-Z,DUC-F-00007,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
48,PLACE_PROTOTYPE_PART,DUC-R2-00005,-Z,DUC-F-00010,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
49,PLACE_PROTOTYPE_PART,DUC-F-00057,-Z,DUC-F-00005,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
50,PLACE_PROTOTYPE_PART,DUC-F-00069,-Z,DUC-F-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
51,PLACE_PROTOTYPE_PART,DUC-F-00080,-Z,DUC-F-00004,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
52,PLACE_PROTOTYPE_PART,DUC-F-00044,-Z,DUC-F-00011,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
53,PLACE_PROTOTYPE_PART,DUC-F-00058,-Z,DUC-F-00013,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
54,PLACE_PROTOTYPE_PART,DUC-F-00070,-Z,DUC-F-00014,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
55,PLACE_PROTOTYPE_PART,DUC-F-00081,-Z,DUC-F-00016,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
56,PLACE_PROTOTYPE_PART,DUC-F-00091,-Z,DUC-F-00018,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
57,PLACE_PROTOTYPE_PART,DUC-F-00045,-Z,DUC-F-00011,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
58,PLACE_PROTOTYPE_PART,DUC-F-00059,-Z,DUC-F-00013,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
59,PLACE_PROTOTYPE_PART,DUC-F-00071,-Z,DUC-F-00014,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
60,PLACE_PROTOTYPE_PART,DUC-F-00082,-Z,DUC-F-00017,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
61,PLACE_PROTOTYPE_PART,DUC-F-00092,-Z,DUC-F-00018,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
62,PLACE_PROTOTYPE_PART,DUC-F-00046,-Z,DUC-F-00021,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
63,PLACE_PROTOTYPE_PART,DUC-F-00060,-Z,DUC-F-00022,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
64,PLACE_PROTOTYPE_PART,DUC-F-00072,-Z,DUC-F-00024,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
65,PLACE_PROTOTYPE_PART,DUC-F-00083,-Z,DUC-F-00027,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
66,PLACE_PROTOTYPE_PART,DUC-F-00093,-Z,DUC-F-00028,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
67,PLACE_PROTOTYPE_PART,DUC-F-00047,-Z,DUC-F-00021,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
68,PLACE_PROTOTYPE_PART,DUC-F-00061,-Z,DUC-F-00023,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
69,PLACE_PROTOTYPE_PART,DUC-F-00073,-Z,DUC-F-00024,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
70,PLACE_PROTOTYPE_PART,DUC-F-00084,-Z,DUC-F-00026,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
71,PLACE_PROTOTYPE_PART,DUC-R2-00006,-Z,DUC-F-00028,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
72,PLACE_PROTOTYPE_PART,DUC-F-00048,-Z,DUC-F-00029,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
73,PLACE_PROTOTYPE_PART,DUC-F-00062,-Z,DUC-F-00030,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
74,PLACE_PROTOTYPE_PART,DUC-F-00074,-Z,DUC-F-00032,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
75,PLACE_PROTOTYPE_PART,DUC-F-00085,-Z,DUC-F-00034,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
76,PLACE_PROTOTYPE_PART,DUC-R2-00007,-Z,DUC-F-00036,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
77,PLACE_PROTOTYPE_PART,DUC-F-00050,-Z,DUC-F-00029,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
78,PLACE_PROTOTYPE_PART,DUC-R2-00008,-Z,DUC-F-00038,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
79,PLACE_PROTOTYPE_PART,DUC-F-00063,-Z,DUC-F-00031,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
80,PLACE_PROTOTYPE_PART,DUC-F-00075,-Z,DUC-F-00033,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
81,PLACE_PROTOTYPE_PART,DUC-F-00086,-Z,DUC-F-00034,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
82,PLACE_PROTOTYPE_PART,DUC-R2-00009,-Z,DUC-F-00040,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
83,PLACE_PROTOTYPE_PART,DUC-R2-00010,-Z,DUC-F-00041,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
84,PLACE_PROTOTYPE_PART,DUC-R2-00011,-Z,DUC-F-00043,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
85,PLACE_PROTOTYPE_PART,DUC-R2-00012,-Z,DUC-R2-00001,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
86,PLACE_PROTOTYPE_PART,DUC-F-00100,-Z,DUC-R2-00001,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
87,PLACE_PROTOTYPE_PART,DUC-R2-00013,-Z,DUC-R2-00001,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
88,PLACE_PROTOTYPE_PART,DUC-R2-00014,-Z,DUC-R2-00004,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
89,PLACE_PROTOTYPE_PART,DUC-F-00106,-Z,DUC-R2-00004,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
90,PLACE_PROTOTYPE_PART,DUC-F-00108,-Z,DUC-R2-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
91,PLACE_PROTOTYPE_PART,DUC-F-00109,-Z,DUC-R2-00001,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
92,PLACE_PROTOTYPE_PART,DUC-F-00110,-Z,DUC-R2-00001,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
93,PLACE_PROTOTYPE_PART,DUC-F-00111,-Z,DUC-R2-00003,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
94,PLACE_PROTOTYPE_PART,DUC-F-00112,-Z,DUC-R2-00003,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
95,PLACE_PROTOTYPE_PART,DUC-F-00113,-Z,DUC-R2-00005,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
96,PLACE_PROTOTYPE_PART,DUC-R2-00015,-Z,DUC-R2-00005,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
97,PLACE_PROTOTYPE_PART,DUC-R2-00016,-Z,DUC-R2-00004,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
98,PLACE_PROTOTYPE_PART,DUC-R2-00017,-Z,DUC-F-00092,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
99,PLACE_PROTOTYPE_PART,DUC-F-00119,-Z,DUC-F-00044,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
100,PLACE_PROTOTYPE_PART,DUC-F-00120,-Z,DUC-F-00044,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
101,PLACE_PROTOTYPE_PART,DUC-F-00121,-Z,DUC-F-00058,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
102,PLACE_PROTOTYPE_PART,DUC-F-00122,-Z,DUC-F-00058,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
103,PLACE_PROTOTYPE_PART,DUC-F-00123,-Z,DUC-F-00058,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
104,PLACE_PROTOTYPE_PART,DUC-F-00124,-Z,DUC-F-00070,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
105,PLACE_PROTOTYPE_PART,DUC-F-00125,-Z,DUC-F-00081,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
106,PLACE_PROTOTYPE_PART,DUC-F-00126,-Z,DUC-F-00081,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
107,PLACE_PROTOTYPE_PART,DUC-F-00127,-Z,DUC-F-00091,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
108,PLACE_PROTOTYPE_PART,DUC-F-00128,-Z,DUC-F-00091,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
109,PLACE_PROTOTYPE_PART,DUC-R2-00018,-Z,DUC-F-00046,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
110,PLACE_PROTOTYPE_PART,DUC-F-00133,-Z,DUC-F-00046,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
111,PLACE_PROTOTYPE_PART,DUC-F-00134,-Z,DUC-F-00060,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
112,PLACE_PROTOTYPE_PART,DUC-F-00135,-Z,DUC-F-00060,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
113,PLACE_PROTOTYPE_PART,DUC-F-00136,-Z,DUC-F-00072,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
114,PLACE_PROTOTYPE_PART,DUC-F-00137,-Z,DUC-F-00072,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
115,PLACE_PROTOTYPE_PART,DUC-F-00138,-Z,DUC-F-00083,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
116,PLACE_PROTOTYPE_PART,DUC-F-00139,-Z,DUC-F-00083,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
117,PLACE_PROTOTYPE_PART,DUC-F-00140,-Z,DUC-F-00083,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
118,PLACE_PROTOTYPE_PART,DUC-F-00141,-Z,DUC-F-00093,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
119,PLACE_PROTOTYPE_PART,DUC-R2-00019,-Z,DUC-F-00093,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
120,PLACE_PROTOTYPE_PART,DUC-R2-00020,-Z,DUC-F-00048,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
121,PLACE_PROTOTYPE_PART,DUC-F-00144,-Z,DUC-F-00048,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
122,PLACE_PROTOTYPE_PART,DUC-F-00145,-Z,DUC-F-00062,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
123,PLACE_PROTOTYPE_PART,DUC-F-00146,-Z,DUC-F-00062,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
124,PLACE_PROTOTYPE_PART,DUC-F-00147,-Z,DUC-F-00074,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
125,PLACE_PROTOTYPE_PART,DUC-F-00148,-Z,DUC-F-00074,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
126,PLACE_PROTOTYPE_PART,DUC-F-00149,-Z,DUC-F-00085,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
127,PLACE_PROTOTYPE_PART,DUC-F-00150,-Z,DUC-F-00085,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
128,PLACE_PROTOTYPE_PART,DUC-F-00151,-Z,DUC-R2-00007,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
129,PLACE_PROTOTYPE_PART,DUC-F-00152,-Z,DUC-R2-00007,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
130,PLACE_PROTOTYPE_PART,DUC-R2-00021,-Z,DUC-R2-00008,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
131,PLACE_PROTOTYPE_PART,DUC-R2-00022,-Z,DUC-R2-00009,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
132,PLACE_PROTOTYPE_PART,DUC-F-00159,-Z,DUC-R2-00009,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
133,PLACE_PROTOTYPE_PART,DUC-R2-00023,-Z,DUC-R2-00010,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
134,PLACE_PROTOTYPE_PART,DUC-R2-00024,-Z,DUC-R2-00010,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
135,PLACE_PROTOTYPE_PART,DUC-R2-00025,-Z,DUC-R2-00011,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
136,PLACE_PROTOTYPE_PART,DUC-F-00163,-Z,DUC-R2-00011,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
137,PLACE_PROTOTYPE_PART,DUC-R2-00026,-Z,DUC-F-00086,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
138,PLACE_PROTOTYPE_PART,DUC-R2-00027,-Z,DUC-R2-00007,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
139,PLACE_PROTOTYPE_PART,DUC-R2-00028,-Z,DUC-F-00100,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
140,PLACE_PROTOTYPE_PART,DUC-R2-00029,-Z,DUC-R2-00013,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
141,PLACE_PROTOTYPE_PART,DUC-R2-00030,-Z,DUC-R2-00012,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
142,PLACE_PROTOTYPE_PART,DUC-R2-00031,-Z,DUC-R2-00013,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
143,PLACE_PROTOTYPE_PART,DUC-R2-00032,-Z,DUC-F-00106,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
144,PLACE_PROTOTYPE_PART,DUC-F-00195,-Z,DUC-F-00108,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
145,PLACE_PROTOTYPE_PART,DUC-F-00208,-Z,DUC-F-00109,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
146,PLACE_PROTOTYPE_PART,DUC-F-00223,-Z,DUC-F-00111,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
147,PLACE_PROTOTYPE_PART,DUC-F-00236,-Z,DUC-F-00113,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
148,PLACE_PROTOTYPE_PART,DUC-F-00188,-Z,DUC-F-00106,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
149,PLACE_PROTOTYPE_PART,DUC-R2-00033,-Z,DUC-R2-00017,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
150,PLACE_PROTOTYPE_PART,DUC-F-00180,-Z,DUC-R2-00016,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
151,PLACE_PROTOTYPE_PART,DUC-F-00196,-Z,DUC-R2-00014,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
152,PLACE_PROTOTYPE_PART,DUC-F-00209,-Z,DUC-F-00109,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
153,PLACE_PROTOTYPE_PART,DUC-F-00224,-Z,DUC-F-00112,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
154,PLACE_PROTOTYPE_PART,DUC-F-00237,-Z,DUC-F-00113,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
155,PLACE_PROTOTYPE_PART,DUC-R2-00034,-Z,DUC-F-00119,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
156,PLACE_PROTOTYPE_PART,DUC-F-00197,-Z,DUC-F-00122,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
157,PLACE_PROTOTYPE_PART,DUC-F-00210,-Z,DUC-F-00123,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
158,PLACE_PROTOTYPE_PART,DUC-F-00225,-Z,DUC-F-00125,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
159,PLACE_PROTOTYPE_PART,DUC-F-00238,-Z,DUC-F-00127,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
160,PLACE_PROTOTYPE_PART,DUC-R2-00035,-Z,DUC-R2-00017,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
161,PLACE_PROTOTYPE_PART,DUC-R2-00036,-Z,DUC-R2-00018,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
162,PLACE_PROTOTYPE_PART,DUC-F-00182,-Z,DUC-F-00119,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
163,PLACE_PROTOTYPE_PART,DUC-F-00198,-Z,DUC-F-00121,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
164,PLACE_PROTOTYPE_PART,DUC-F-00211,-Z,DUC-F-00123,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
165,PLACE_PROTOTYPE_PART,DUC-F-00226,-Z,DUC-F-00125,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
166,PLACE_PROTOTYPE_PART,DUC-F-00239,-Z,DUC-F-00127,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
167,PLACE_PROTOTYPE_PART,DUC-F-00252,-Z,DUC-R2-00017,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
168,PLACE_PROTOTYPE_PART,DUC-F-00183,-Z,DUC-R2-00018,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
169,PLACE_PROTOTYPE_PART,DUC-F-00199,-Z,DUC-F-00134,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
170,PLACE_PROTOTYPE_PART,DUC-F-00212,-Z,DUC-F-00137,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
171,PLACE_PROTOTYPE_PART,DUC-F-00227,-Z,DUC-F-00138,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
172,PLACE_PROTOTYPE_PART,DUC-F-00240,-Z,DUC-F-00140,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
173,PLACE_PROTOTYPE_PART,DUC-F-00253,-Z,DUC-R2-00019,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
174,PLACE_PROTOTYPE_PART,DUC-R2-00037,-Z,DUC-R2-00018,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
175,PLACE_PROTOTYPE_PART,DUC-F-00184,-Z,DUC-R2-00018,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
176,PLACE_PROTOTYPE_PART,DUC-F-00200,-Z,DUC-F-00135,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
177,PLACE_PROTOTYPE_PART,DUC-F-00213,-Z,DUC-F-00136,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
178,PLACE_PROTOTYPE_PART,DUC-F-00228,-Z,DUC-F-00138,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
179,PLACE_PROTOTYPE_PART,DUC-F-00241,-Z,DUC-F-00140,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
180,PLACE_PROTOTYPE_PART,DUC-F-00254,-Z,DUC-R2-00019,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
181,PLACE_PROTOTYPE_PART,DUC-F-00185,-Z,DUC-F-00144,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
182,PLACE_PROTOTYPE_PART,DUC-F-00201,-Z,DUC-F-00145,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
183,PLACE_PROTOTYPE_PART,DUC-F-00214,-Z,DUC-F-00147,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
184,PLACE_PROTOTYPE_PART,DUC-F-00229,-Z,DUC-F-00149,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
185,PLACE_PROTOTYPE_PART,DUC-F-00242,-Z,DUC-F-00152,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
186,PLACE_PROTOTYPE_PART,DUC-F-00255,-Z,DUC-R2-00019,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
187,PLACE_PROTOTYPE_PART,DUC-F-00186,-Z,DUC-F-00144,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
188,PLACE_PROTOTYPE_PART,DUC-F-00202,-Z,DUC-F-00145,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
189,PLACE_PROTOTYPE_PART,DUC-F-00215,-Z,DUC-F-00148,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
190,PLACE_PROTOTYPE_PART,DUC-F-00230,-Z,DUC-F-00150,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
191,PLACE_PROTOTYPE_PART,DUC-F-00243,-Z,DUC-F-00151,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
192,PLACE_PROTOTYPE_PART,DUC-R2-00038,-Z,DUC-R2-00019,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
193,PLACE_PROTOTYPE_PART,DUC-F-00187,-Z,DUC-R2-00021,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
194,PLACE_PROTOTYPE_PART,DUC-F-00203,-Z,DUC-F-00159,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
195,PLACE_PROTOTYPE_PART,DUC-F-00216,-Z,DUC-R2-00023,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
196,PLACE_PROTOTYPE_PART,DUC-F-00231,-Z,DUC-R2-00025,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
197,PLACE_PROTOTYPE_PART,DUC-F-00244,-Z,DUC-R2-00026,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
198,PLACE_PROTOTYPE_PART,DUC-R2-00039,-Z,DUC-R2-00021,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
