step,operation,part_or_aid_id,axis,attach_to,support_stud_sites,support_class,condition
48,PLACE_PROTOTYPE_PART,COP-C-00072,-Z,COP-C-00014,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
49,PLACE_PROTOTYPE_PART,COP-C-00040,-Z,COP-C-00017,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
50,PLACE_PROTOTYPE_PART,COP-C-00050,-Z,COP-C-00011,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
51,PLACE_PROTOTYPE_PART,COP-C-00061,-Z,COP-C-00013,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
52,PLACE_PROTOTYPE_PART,COP-C-00073,-Z,COP-C-00014,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
53,PLACE_PROTOTYPE_PART,COP-R2-00006,-Z,COP-C-00016,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
54,PLACE_PROTOTYPE_PART,COP-C-00041,-Z,COP-C-00019,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
55,PLACE_PROTOTYPE_PART,COP-C-00051,-Z,COP-C-00020,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
56,PLACE_PROTOTYPE_PART,COP-C-00062,-Z,COP-C-00022,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
57,PLACE_PROTOTYPE_PART,COP-C-00074,-Z,COP-C-00024,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
58,PLACE_PROTOTYPE_PART,COP-C-00083,-Z,COP-C-00026,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
59,PLACE_PROTOTYPE_PART,COP-R2-00007,-Z,COP-C-00027,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
60,PLACE_PROTOTYPE_PART,COP-C-00052,-Z,COP-C-00021,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
61,PLACE_PROTOTYPE_PART,COP-C-00063,-Z,COP-C-00023,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
62,PLACE_PROTOTYPE_PART,COP-C-00075,-Z,COP-C-00024,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
63,PLACE_PROTOTYPE_PART,COP-C-00084,-Z,COP-C-00026,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
64,PLACE_PROTOTYPE_PART,COP-C-00053,-Z,COP-C-00029,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
65,PLACE_PROTOTYPE_PART,COP-C-00064,-Z,COP-C-00030,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
66,PLACE_PROTOTYPE_PART,COP-C-00076,-Z,COP-C-00032,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
67,PLACE_PROTOTYPE_PART,COP-R2-00008,-Z,COP-C-00034,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
68,PLACE_PROTOTYPE_PART,COP-R2-00009,-Z,COP-C-00036,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
69,PLACE_PROTOTYPE_PART,COP-R2-00010,-Z,COP-C-00030,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
70,PLACE_PROTOTYPE_PART,COP-R2-00011,-Z,COP-C-00032,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
71,PLACE_PROTOTYPE_PART,COP-R2-00012,-Z,COP-R2-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
72,PLACE_PROTOTYPE_PART,COP-R2-00013,-Z,COP-R2-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
73,PLACE_PROTOTYPE_PART,COP-R2-00014,-Z,COP-R2-00001,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
74,PLACE_PROTOTYPE_PART,COP-R2-00015,-Z,COP-R2-00002,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
75,PLACE_PROTOTYPE_PART,COP-C-00097,-Z,COP-R2-00001,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
76,PLACE_PROTOTYPE_PART,COP-C-00098,-Z,COP-R2-00001,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
77,PLACE_PROTOTYPE_PART,COP-R2-00016,-Z,COP-R2-00004,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
78,PLACE_PROTOTYPE_PART,COP-R2-00017,-Z,COP-R2-00003,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
79,PLACE_PROTOTYPE_PART,COP-C-00108,-Z,COP-R2-00005,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
80,PLACE_PROTOTYPE_PART,COP-C-00109,-Z,COP-R2-00004,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
81,PLACE_PROTOTYPE_PART,COP-C-00110,-Z,COP-C-00049,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
82,PLACE_PROTOTYPE_PART,COP-C-00111,-Z,COP-C-00060,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
83,PLACE_PROTOTYPE_PART,COP-C-00112,-Z,COP-C-00060,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
84,PLACE_PROTOTYPE_PART,COP-C-00113,-Z,COP-C-00060,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
85,PLACE_PROTOTYPE_PART,COP-C-00114,-Z,COP-C-00072,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
86,PLACE_PROTOTYPE_PART,COP-C-00115,-Z,COP-R2-00003,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
87,PLACE_PROTOTYPE_PART,COP-C-00116,-Z,COP-R2-00003,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
88,PLACE_PROTOTYPE_PART,COP-R2-00018,-Z,COP-R2-00003,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
89,PLACE_PROTOTYPE_PART,COP-C-00118,-Z,COP-R2-00005,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
90,PLACE_PROTOTYPE_PART,COP-C-00120,-Z,COP-C-00041,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
91,PLACE_PROTOTYPE_PART,COP-C-00121,-Z,COP-C-00041,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
92,PLACE_PROTOTYPE_PART,COP-C-00122,-Z,COP-C-00041,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
93,PLACE_PROTOTYPE_PART,COP-C-00123,-Z,COP-C-00051,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
94,PLACE_PROTOTYPE_PART,COP-C-00124,-Z,COP-C-00062,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
95,PLACE_PROTOTYPE_PART,COP-C-00125,-Z,COP-C-00062,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
96,PLACE_PROTOTYPE_PART,COP-C-00126,-Z,COP-C-00074,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
97,PLACE_PROTOTYPE_PART,COP-C-00127,-Z,COP-C-00074,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
98,PLACE_PROTOTYPE_PART,COP-C-00128,-Z,COP-C-00083,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
99,PLACE_PROTOTYPE_PART,COP-C-00129,-Z,COP-C-00083,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
100,PLACE_PROTOTYPE_PART,COP-R2-00019,-Z,COP-C-00084,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
101,PLACE_PROTOTYPE_PART,COP-C-00132,-Z,COP-R2-00007,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
102,PLACE_PROTOTYPE_PART,COP-R2-00020,-Z,COP-R2-00007,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
103,PLACE_PROTOTYPE_PART,COP-C-00134,-Z,COP-R2-00007,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
104,PLACE_PROTOTYPE_PART,COP-C-00135,-Z,COP-C-00053,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
105,PLACE_PROTOTYPE_PART,COP-C-00136,-Z,COP-C-00053,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
106,PLACE_PROTOTYPE_PART,COP-C-00137,-Z,COP-C-00064,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
107,PLACE_PROTOTYPE_PART,COP-C-00138,-Z,COP-C-00076,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
108,PLACE_PROTOTYPE_PART,COP-C-00139,-Z,COP-C-00076,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
109,PLACE_PROTOTYPE_PART,COP-C-00140,-Z,COP-R2-00008,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
110,PLACE_PROTOTYPE_PART,COP-C-00141,-Z,COP-R2-00008,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
111,PLACE_PROTOTYPE_PART,COP-R2-00021,-Z,COP-C-00084,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
112,PLACE_PROTOTYPE_PART,COP-R2-00022,-Z,COP-R2-00009,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
113,PLACE_PROTOTYPE_PART,COP-C-00147,-Z,COP-R2-00010,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
114,PLACE_PROTOTYPE_PART,COP-C-00148,-Z,COP-R2-00010,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
115,PLACE_PROTOTYPE_PART,COP-R2-00023,-Z,COP-R2-00010,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
116,PLACE_PROTOTYPE_PART,COP-R2-00024,-Z,COP-R2-00011,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
117,PLACE_PROTOTYPE_PART,COP-C-00151,-Z,COP-R2-00011,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
118,PLACE_PROTOTYPE_PART,COP-R2-00025,-Z,COP-R2-00008,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
119,PLACE_PROTOTYPE_PART,COP-R2-00026,-Z,COP-R2-00014,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
120,PLACE_PROTOTYPE_PART,COP-R2-00027,-Z,COP-R2-00013,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
121,PLACE_PROTOTYPE_PART,COP-C-00206,-Z,COP-R2-00015,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
122,PLACE_PROTOTYPE_PART,COP-C-00167,-Z,COP-C-00097,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
123,PLACE_PROTOTYPE_PART,COP-C-00180,-Z,COP-R2-00014,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
124,PLACE_PROTOTYPE_PART,COP-C-00195,-Z,COP-R2-00012,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
125,PLACE_PROTOTYPE_PART,COP-C-00207,-Z,COP-R2-00015,5,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
126,PLACE_PROTOTYPE_PART,COP-R2-00028,-Z,COP-R2-00016,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
127,PLACE_PROTOTYPE_PART,COP-C-00168,-Z,COP-R2-00016,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
128,PLACE_PROTOTYPE_PART,COP-C-00181,-Z,COP-C-00098,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
129,PLACE_PROTOTYPE_PART,COP-C-00196,-Z,COP-R2-00012,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
130,PLACE_PROTOTYPE_PART,COP-C-00208,-Z,COP-R2-00015,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
131,PLACE_PROTOTYPE_PART,COP-C-00161,-Z,COP-R2-00016,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
132,PLACE_PROTOTYPE_PART,COP-R2-00029,-Z,COP-R2-00018,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
133,PLACE_PROTOTYPE_PART,COP-C-00162,-Z,COP-C-00108,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
134,PLACE_PROTOTYPE_PART,COP-C-00169,-Z,COP-C-00109,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
135,PLACE_PROTOTYPE_PART,COP-C-00182,-Z,COP-C-00112,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
136,PLACE_PROTOTYPE_PART,COP-C-00197,-Z,COP-C-00113,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
137,PLACE_PROTOTYPE_PART,COP-C-00209,-Z,COP-C-00115,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
138,PLACE_PROTOTYPE_PART,COP-C-00156,-Z,COP-C-00108,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
139,PLACE_PROTOTYPE_PART,COP-C-00157,-Z,COP-C-00108,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
140,PLACE_PROTOTYPE_PART,COP-C-00170,-Z,COP-C-00109,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
141,PLACE_PROTOTYPE_PART,COP-C-00183,-Z,COP-C-00111,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
142,PLACE_PROTOTYPE_PART,COP-C-00198,-Z,COP-C-00113,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
143,PLACE_PROTOTYPE_PART,COP-C-00210,-Z,COP-C-00115,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
144,PLACE_PROTOTYPE_PART,COP-C-00222,-Z,COP-R2-00018,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
145,PLACE_PROTOTYPE_PART,COP-C-00158,-Z,COP-C-00121,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
146,PLACE_PROTOTYPE_PART,COP-C-00171,-Z,COP-C-00122,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
147,PLACE_PROTOTYPE_PART,COP-C-00184,-Z,COP-C-00124,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
148,PLACE_PROTOTYPE_PART,COP-C-00199,-Z,COP-C-00127,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
149,PLACE_PROTOTYPE_PART,COP-C-00211,-Z,COP-C-00128,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
150,PLACE_PROTOTYPE_PART,COP-C-00223,-Z,COP-R2-00019,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
151,PLACE_PROTOTYPE_PART,COP-C-00159,-Z,COP-C-00121,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
152,PLACE_PROTOTYPE_PART,COP-C-00172,-Z,COP-C-00122,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
153,PLACE_PROTOTYPE_PART,COP-C-00185,-Z,COP-C-00125,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
154,PLACE_PROTOTYPE_PART,COP-C-00200,-Z,COP-C-00126,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
155,PLACE_PROTOTYPE_PART,COP-C-00212,-Z,COP-C-00128,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
156,PLACE_PROTOTYPE_PART,COP-R2-00030,-Z,COP-R2-00019,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
157,PLACE_PROTOTYPE_PART,COP-C-00160,-Z,COP-R2-00020,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
158,PLACE_PROTOTYPE_PART,COP-C-00173,-Z,COP-C-00135,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
159,PLACE_PROTOTYPE_PART,COP-C-00186,-Z,COP-C-00136,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
160,PLACE_PROTOTYPE_PART,COP-C-00201,-Z,COP-C-00138,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
161,PLACE_PROTOTYPE_PART,COP-C-00213,-Z,COP-C-00140,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
162,PLACE_PROTOTYPE_PART,COP-C-00225,-Z,COP-R2-00021,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
163,PLACE_PROTOTYPE_PART,COP-C-00163,-Z,COP-R2-00020,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
164,PLACE_PROTOTYPE_PART,COP-C-00174,-Z,COP-C-00134,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
165,PLACE_PROTOTYPE_PART,COP-C-00187,-Z,COP-C-00136,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
166,PLACE_PROTOTYPE_PART,COP-C-00202,-Z,COP-C-00139,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
167,PLACE_PROTOTYPE_PART,COP-C-00214,-Z,COP-C-00141,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
168,PLACE_PROTOTYPE_PART,COP-C-00226,-Z,COP-R2-00021,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
169,PLACE_PROTOTYPE_PART,COP-C-00166,-Z,COP-R2-00020,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
170,PLACE_PROTOTYPE_PART,COP-C-00175,-Z,COP-R2-00022,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
171,PLACE_PROTOTYPE_PART,COP-C-00188,-Z,COP-C-00148,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
172,PLACE_PROTOTYPE_PART,COP-C-00203,-Z,COP-R2-00023,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
173,PLACE_PROTOTYPE_PART,COP-C-00215,-Z,COP-C-00151,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
174,PLACE_PROTOTYPE_PART,COP-C-00219,-Z,COP-R2-00025,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
175,PLACE_PROTOTYPE_PART,COP-R2-00031,-Z,COP-R2-00022,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
176,PLACE_PROTOTYPE_PART,COP-R2-00032,-Z,COP-C-00148,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
177,PLACE_PROTOTYPE_PART,COP-C-00204,-Z,COP-R2-00023,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
178,PLACE_PROTOTYPE_PART,COP-R2-00033,-Z,COP-C-00151,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
179,PLACE_PROTOTYPE_PART,COP-C-00205,-Z,COP-R2-00024,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
180,PLACE_PROTOTYPE_PART,COP-C-00232,-Z,COP-R2-00027,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
181,PLACE_PROTOTYPE_PART,COP-C-00233,-Z,COP-R2-00027,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
182,PLACE_PROTOTYPE_PART,COP-R2-00034,-Z,COP-R2-00026,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
183,PLACE_PROTOTYPE_PART,COP-C-00236,-Z,COP-R2-00026,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
184,PLACE_PROTOTYPE_PART,COP-C-00237,-Z,COP-R2-00027,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
185,PLACE_PROTOTYPE_PART,COP-R2-00035,-Z,COP-C-00167,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
186,PLACE_PROTOTYPE_PART,COP-C-00241,-Z,COP-R2-00026,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
187,PLACE_PROTOTYPE_PART,COP-C-00242,-Z,COP-C-00180,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
188,PLACE_PROTOTYPE_PART,COP-C-00243,-Z,COP-C-00195,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
189,PLACE_PROTOTYPE_PART,COP-C-00244,-Z,COP-C-00195,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
190,PLACE_PROTOTYPE_PART,COP-C-00245,-Z,COP-C-00207,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
191,PLACE_PROTOTYPE_PART,COP-C-00246,-Z,COP-C-00207,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
192,PLACE_PROTOTYPE_PART,COP-C-00247,-Z,COP-C-00167,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
193,PLACE_PROTOTYPE_PART,COP-C-00248,-Z,COP-C-00207,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
194,PLACE_PROTOTYPE_PART,COP-C-00249,-Z,COP-R2-00028,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
195,PLACE_PROTOTYPE_PART,COP-R2-00036,-Z,COP-C-00208,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
196,PLACE_PROTOTYPE_PART,COP-C-00252,-Z,COP-C-00162,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
197,PLACE_PROTOTYPE_PART,COP-C-00253,-Z,COP-C-00169,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
198,PLACE_PROTOTYPE_PART,COP-C-00254,-Z,COP-C-00169,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
199,PLACE_PROTOTYPE_PART,COP-C-00255,-Z,COP-C-00169,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
200,PLACE_PROTOTYPE_PART,COP-C-00256,-Z,COP-C-00182,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
201,PLACE_PROTOTYPE_PART,COP-C-00257,-Z,COP-C-00197,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
202,PLACE_PROTOTYPE_PART,COP-C-00258,-Z,COP-C-00197,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
